,id,name,popularity,type,is_local,explicit,duration_ms,disc_number,track_number,artist_id,artist_name,album_artist_id,album_artist_name,album_id,album_name,album_release_date,album_tracks,album_type
483,6T8cJz5lAqGer9GUHGyelE,God's Plan,2,track,False,True,198960,1,1,3TVXtAsR1Inumwj472S9r4,Drake,3TVXtAsR1Inumwj472S9r4,Drake,2YDNDwQvsU0njt7Kq0xNRY,Scary Hours,2018-01-20,2,album
484,6lJ5aSxKHCwNBoWkZT3JeJ,Cutting Ties,60,track,False,True,261703,1,1,4IVAbR2w4JJNJDDRFP3E83,6LACK,4IVAbR2w4JJNJDDRFP3E83,6LACK,5wy7JKTWa3JRjvQT7cWOcq,Cutting Ties,2018-02-14,1,album
485,6DY2TWhO7ioSmVzK3kuHk8,Narcos,0,track,False,True,255378,1,3,6oMuImdp5ZcFhWP0ESe6mG,Migos,6oMuImdp5ZcFhWP0ESe6mG,Migos,5ZnasU3vhbAxJxUYNXeqOq,Culture II,2018-01-26,24,album
486,6RUKPb4LETWmmr3iAEQktW,Something Just Like This,86,track,False,False,247160,1,5,69GGBxA162lTqCwzJG5jLp,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,The Chainsmokers,4JPguzRps3kuWDD5GS6oXr,Memories...Do Not Open,2017-04-07,12,album
487,5lbryeP6ZEiTxUiRqxqYhZ,Io Ce Credo,13,track,False,False,232173,1,7,35qJUtQhT3s13ktEREQGS5,Claudia Paganelli,0LyfQWJT6nXafLPZqxe9Of,Various Artists,5mtW0PYTCBBipCyInvQElN,C'era Una Volta... Scugnizzi (Il Musical),2009-11-10,20,album
488,6zhQ1AVamzw2rqUFeNMAgW,Chesta Sera,4,track,False,False,285013,3,7,4xhEhRE75hHgXMeNeeTTsx,Nino D'Angelo,4xhEhRE75hHgXMeNeeTTsx,Nino D'Angelo,7AAIKxKRF11sD40mAA6N0y,La Storia Di Nino,2006-09-22,49,album
489,0jGQtoIUi5UkJIXQjUFEMo,Nun Ce Putimm Lassà,5,track,False,False,226000,1,4,4xhEhRE75hHgXMeNeeTTsx,Nino D'Angelo,4xhEhRE75hHgXMeNeeTTsx,Nino D'Angelo,76g0GBEdBKGsgfJD3ZXY6C,A Nu Passo D'A Città,1997-05-23,10,album
490,4DH4yplDsQ0hpxGYtfU1a2,Mente-Cuore,42,track,False,False,190573,1,2,4xhEhRE75hHgXMeNeeTTsx,Nino D'Angelo,4xhEhRE75hHgXMeNeeTTsx,Nino D'Angelo,7djYoDqCKmT8ubkJsBdHXP,E La Vita Continua,1991-11-29,10,album
491,5OCWEEEXTvFyR3CHP9zdN5,Quanne 'n'ammore è fernuto,5,track,False,False,184880,1,4,7cdIY4mDfM1dbjgl7s2fGR,Sal Da Vinci,0LyfQWJT6nXafLPZqxe9Of,Various Artists,7J0C5mCqjbHYx2DFjEMIac,Stelle a metà (Colonna sonora del musical),2014-12-12,16,album
492,4mtWFZzcQVILAQfepAZ4Uc,Ammore assaje,4,track,False,False,161733,1,11,7cdIY4mDfM1dbjgl7s2fGR,Sal Da Vinci,0LyfQWJT6nXafLPZqxe9Of,Various Artists,7J0C5mCqjbHYx2DFjEMIac,Stelle a metà (Colonna sonora del musical),2014-12-12,16,album
